emoji,shortcode,country,artist,song,semifinal1,semifinal2,final
🇸🇪,SWE,Sweden,Marcus & Martinus,Unforgettable,0,0,1
🇺🇦,UKR,Ukraine,Alyona Alyona and Jerry Heil,Teresa & Maria,5,0,2
🇩🇪,GER,Germany,Isaak,Always on the Run,0,0,3
🇱🇺,LUX,Luxembourg,Tali,Fighter,15,0,4
🇳🇱,NED,Netherlands,Joost Klein,Europapa,0,16,0
🇮🇱,ISR,Israel,Eden Golan,Hurricane,0,14,5
🇱🇹,LTU,Lithuania,Silvester Belt,Luktelk,3,0,6
🇪🇸,ESP,Spain,Nebulossa,Zorra,0,0,7
🇪🇪,EST,Estonia,5miinust and Puuluup,(Nendest) narkootikumidest ei tea me (küll) midagi,0,13,8
🇮🇪,IRE,Ireland,Bambie Thug,Doomsday Blue,4,0,9
🇱🇻,LAT,Latvia,Dons,Hollow,0,9,10
🇬🇷,GRE,Greece,Marina Satti,Zari,0,3,11
🇬🇧,GBR,United Kingdom,Olly Alexander,Dizzy,0,0,12
🇳🇴,NOR,Norway,Gåte,Ulveham,0,15,13
🇮🇹,ITA,Italy,Angelina Mango,La noia,0,0,14
🇷🇸,SRB,Serbia,Teya Dora,Ramonda,2,0,15
🇫🇮,FIN,Finland,Windows95man,No Rules!,10,0,16
🇵🇹,POR,Portugal,Iolanda,Grito,14,0,17
🇦🇲,ARM,Armenia,Ladaniva,Jako,0,8,18
🇨🇾,CYP,Cyprus,Silia Kapsis,Liar,1,0,19
🇨🇭,SUI,Switzerland,Nemo,The Code,0,4,20
🇸🇮,SLO,Slovenia,Raiven,Veronika,9,0,21
🇭🇷,CRO,Croatia,Baby Lasagna,Rim Tim Tagi Dim,7,0,22
🇬🇪,GEO,Georgia,Nutsa Buzaladze,Firefighter,0,11,23
🇫🇷,FRA,France,Slimane,Mon amour,0,0,24
🇦🇹,AUT,Austria,Kaleen,We Will Rave,0,6,25
🇦🇱,ALB,Albania,Besa,Titan,0,2,0
🇦🇺,AUS,Australia,Electric Fields,One Milkali (One Blood),13,0,0
🇦🇿,AZE,Azerbaijan,Fahree feat. Ilkin Dovlatov,Özünlə apar,12,0,0
🇧🇪,BEL,Belgium,Mustii,Before the Party's Over,0,12,0
🇨🇿,CZE,Czechia,Aiko,Pedestal,0,5,0
🇩🇰,DEN,Denmark,Saba,Sand,0,7,0
🇮🇸,ISL,Iceland,Hera Björk,Scared of Heights,8,0,0
🇲🇩,MDA,Moldova,Natalia Barbu,In the Middle,11,0,0
🇲🇹,MLT,Malta,Sarah Bonnici,Loop,0,1,0
🇵🇱,POL,Poland,Luna,The Tower,6,0,0
🇸🇲,SMR,San Marino,Megara,11:11,0,10,0
