emoji,shortcode,country,artist,song,semifinal1,semifinal2,final,test
🇦🇱,ALB,Albania,Shkodra Elektronike,Zjerm,12,0,0,0
🇦🇲,ARM,Armenia,PARG,SURVIVOR,0,5,0,0
🇦🇺,AUS,Australia,Go-Jo,Milkshake Man,0,1,0,0
🇦🇹,AUT,Austria,JJ,Wasted Love,0,6,0,16
🇦🇿,AZE,Azerbaijan,Mamagama,Run With U,10,0,0,0
🇧🇪,BEL,Belgium,Red Sebastian,Strobe Lights,9,0,0,15
🇭🇷,CRO,Croatia,Marko Bošnjak,Poison Cake,14,0,0,0
🇨🇾,CYP,Cyprus,Theo Evan,Shh,15,0,0,14
🇨🇿,CZE,Czechia,ADONXS,Kiss Kiss Goodbye,0,12,0,0
🇩🇰,DEN,Denmark,Sissal,Hallucination,0,11,0,13
🇪🇪,EST,Estonia,Tommy Cash,Espresso Macchiato,4,0,0,12
🇫🇮,FIN,Finland,Erika Vikman,ICH KOMME,0,16,0,0
🇫🇷,FRA,France,Louane,maman,0,18,0,11
🇬🇪,GEO,Georgia,Mariam Shengelia,Freedom,0,10,0,0
🇩🇪,GER,Germany,Abor & Tynna,Baller,0,19,0,10
🇬🇷,GRE,Greece,Klavdia,Asteromáta,0,7,0,0
🇮🇸,ICE,Iceland,VÆB,RÓA,1,0,0,0
🇮🇪,IRE,Ireland,EMMY,Laika Party,0,3,0,9
🇮🇱,ISR,Israel,Yuval Raphael,New Day Will Rise,0,14,0,0
🇮🇹,ITA,Italy,Lucio Corsi,Volevo Essere Un Duro,17,0,0,0
🇱🇻,LAT,Latvia,Tautumeitas,Bur Man Laimi,0,4,0,0
🇱🇹,LIT,Lithuania,Katarsis,Tavo Akys,0,8,0,0
🇱🇺,LUX,Luxembourg,Laura Thorn,La Poupée Monte Le Son,0,13,0,8
🇲🇹,MLT,Malta,Miriana Conte,SERVING,0,9,0,7
🇲🇪,MNE,Montenegro,Nina Žižić,Dobrodošli,0,2,0,6
🇳🇱,NED,Netherlands,Claude,C’est La Vie,13,0,0,5
🇳🇴,NOR,Norway,Kyle Alessandro,Lighter,8,0,0,0
🇵🇱,POL,Poland,Justyna Steczkowska,GAJA,2,0,0,0
🇵🇹,POR,Portugal,NAPA,Deslocado,7,0,0,0
🇸🇲,SMR,San Marino,Gabry Ponte,Tutta L’Italia,11,0,0,0
🇷🇸,SRB,Serbia,Princ,Mila,0,15,0,0
🇸🇮,SLO,Slovenia,Klemen,How Much Time Do We Have Left,3,0,0,0
🇪🇸,ESP,Spain,Melody,ESA DIVA,16,0,0,4
🇸🇪,SWE,Sweden,KAJ,Bara Bada Bastu,6,0,0,3
🇨🇭,SWI,Switzerland,Zoë Më,Voyage,18,0,0,2
🇺🇦,UKR,Ukraine,Ziferblat,Bird of Pray,5,0,0,0
🇬🇧,UK,United Kingdom,Remember Monday,What The Hell Just Happened?,0,17,0,1
